(5, 20)
(6, 19)
(7, 20)
(8, 21)
(8, 22)
(8, 23)
(9, 24)
(10, 24)
(11, 23)
(12, 23)
(13, 23)
(14, 23)
(15, 22)
(16, 21)
(17, 21)
(18, 20)
(19, 20)
(20, 20)
(21, 21)
(22, 20)
(23, 20)
(24, 21)
(25, 21)
(26, 20)
(27, 19)
(27, 18)
(28, 17)
(29, 17)
(30, 17)
(31, 18)
(32, 18)
(33, 18)
(34, 17)
(35, 16)
(35, 15)
(36, 14)
(37, 13)
(38, 12)
(39, 12)
(40, 11)
(41, 11)
(42, 10)
(42, 9)
(43, 8)
(42, 7)
(43, 6)
